1,101,100001,2017-04-27,2017-05-03,1
2,102,100002,2017-04-26,2017-05-06,1
3,103,100003,2017-04-24,2017-05-09,0
4,104,100004,2017-04-29,2017-04-30,1
5,105,100005,2017-05-03,2017-05-07,1
6,106,100006,2017-05-08,2017-05-13,0
7,107,100007,2017-04-24,2017-04-27,1
8,108,100008,2017-04-10,2017-04-15,1
9,109,100009,2017-04-01,2017-04-21,1
10,201,100010,2017-06-07,2017-06-16,0
11,202,100010,2017-07-11,2017-08-03,0
12,203,100011,2017-05-19,2017-06-13,0
15,408,100001,2017-04-30,2017-05-19,1
14,409,100001,2017-04-30,2017-05-19,1
13,204,1,2017-04-30,2017-05-19,1
16,308,100001,2017-04-30,2017-05-19,1
17,307,100001,2017-04-30,2017-05-19,1
18,100,100001,2017-04-30,2017-05-19,1
19,205,100001,2017-04-30,2017-05-19,1
20,206,100001,2017-04-30,2017-05-19,1
21,305,100001,2017-04-30,2017-05-19,1
22,303,100001,2017-04-30,2017-05-19,1
24,304,100001,2017-04-30,2017-05-19,1
23,302,100001,2017-04-30,2017-05-19,1
25,401,100001,2017-04-30,2017-05-19,1
26,301,100001,2017-04-30,2017-05-19,1
